pdb,near_active,ref_to_active
1CA2,TRUE,5.49158568213
1CB7,TRUE,5.48404589236
1CB8,TRUE,5.03659490498
1CBG,FALSE,10.6484889618
1CBX,FALSE,8.71470616449
1CD5,TRUE,5.92772404134
1CDG,TRUE,0
1CEL,TRUE,5.26916893775
1CEV,TRUE,4.44045662137
1CF2,TRUE,0
1CG2,FALSE,11.1674422411
1CG6,FALSE,12.8379497955
1CGK,TRUE,7.24315051782
1CHD,TRUE,0
1CHM,FALSE,8.84180104794
1CI8,TRUE,0
1CL1,FALSE,10.0861176541
1CNS,TRUE,5.77159916093
1COY,FALSE,11.1106036233
1CQQ,TRUE,5.14105993615
1CTN,FALSE,7.86103523795
1CTT,TRUE,5.67113499984
1CVR,FALSE,18.1951355217
1CW0,FALSE,13.7546525814
1CWY,TRUE,0
1CZ1,TRUE,4.65698424828
1CZF,TRUE,0
1D0S,TRUE,5.407171713
1D1Q,TRUE,0
1D2R,FALSE,15.1642627358
1D4A,FALSE,17.3912683839
1D4C,TRUE,0
1D6O,TRUE,6.61400825669
1D8T,FALSE,28.1888395956
1DAA,TRUE,5.55446897147
1DBF,FALSE,9.36707711486
1DBT,TRUE,0
1DCO,TRUE,6.27752828312
1DD8,FALSE,10.6516550766
1DDJ,TRUE,6.78735107469
1DE6,TRUE,0
1DEK,FALSE,9.28511324843
1DGK,FALSE,24.2241961377
1DHF,FALSE,7.74367443422
1DHP,TRUE,0
1DII,FALSE,10.3667490241
1DIN,FALSE,10.7008545186
1DIO,TRUE,6.8170254794
1DIZ,TRUE,0
1DJ0,TRUE,0
1DJL,FALSE,9.12957699122
1DL5,FALSE,8.95082280241
1DLI,TRUE,5.12877289282
1DNP,TRUE,6.45250098834
1DO6,TRUE,4.43084577526
1DO8,TRUE,5.77737376661
1DOD,FALSE,12.0318001056
1DPG,TRUE,0
1DUB,FALSE,16.1904595447
1DUP,FALSE,13.1044238075
1DVE,TRUE,0
1DWO,FALSE,9.3848973063
1DZR,FALSE,11.8834522704
1E0C,TRUE,0
1E1A,FALSE,12.2261289812
1E2A,TRUE,6.64445249148
1E2T,TRUE,5.47464398674
1E3V,TRUE,6.00959245299
1E5Q,TRUE,0
1E6E,FALSE,7.82223988071
1E7Q,TRUE,0
1EB6,FALSE,9.67465858706
1EBF,TRUE,7.26167592307
1EC9,TRUE,0
1ECF,FALSE,10.8305358505
1EEJ,TRUE,6.36716575096
1EH5,TRUE,6.40662256449
1EI5,TRUE,5.51306682554
1ELS,TRUE,7.18047739735
1EMD,FALSE,8.31902506155
1ESC,FALSE,8.11434246354
1EUG,TRUE,4.91121449636
1EUU,FALSE,8.83964858797
1EVY,TRUE,0
1EX1,FALSE,7.6203226726
1EXN,FALSE,17.8882009015
1EXP,TRUE,4.2439754442
1EYI,FALSE,10.9236499051
1EYP,FALSE,11.1917758913
1EZ1,FALSE,7.94375186585
1EZ2,FALSE,10.3527707488
1F2D,TRUE,3.90999192394
1F2V,FALSE,14.7613238489
1F6D,TRUE,6.49543520415
1F7L,TRUE,5.55130130148
1F7U,FALSE,12.2764074869
1F8M,FALSE,11.1995210537
1F8R,FALSE,7.63610285196
1F8X,TRUE,0
1FF3,FALSE,10.0032521339
1FGH,TRUE,0
1FHL,TRUE,4.82809828406
1FIQ,FALSE,19.5769709593
1FO6,TRUE,5.10962093385
1FOA,TRUE,7.1554140941
1FPS,FALSE,12.1267337213
1FQ0,TRUE,4.9622087398
1FR2,TRUE,5.21436508806
1FR8,TRUE,4.96091997624
1FRO,FALSE,9.17280500875
1FUA,FALSE,8.89177804025
1FUI,FALSE,32.9136742747
1G24,FALSE,9.57987122935
1G64,TRUE,5.64653458265
1G6T,TRUE,0
1G72,FALSE,8.35305111854
1G79,FALSE,23.9692796326
1G8F,FALSE,21.226653606
1G8O,FALSE,10.1595458999
1G99,TRUE,5.75480412274
1GA8,FALSE,8.56338523957
1GAL,FALSE,9.70251312895
1GCB,TRUE,0
1GCU,TRUE,0
1GDH,FALSE,8.95467304474
1GE7,TRUE,5.38064950676
1GIM,TRUE,0
1GOG,FALSE,13.1002713124
1GP1,FALSE,9.39048655293
1GP5,TRUE,0
1GPA,FALSE,8.18269302535
1GPJ,FALSE,19.7448056093
1GPR,TRUE,5.46404145356
1GQ8,TRUE,4.09002054946
1GSA,TRUE,5.7656390159
1GT7,FALSE,11.8751259615
1GTP,FALSE,8.97644826855
1GUF,FALSE,10.7349878693
1H19,TRUE,0
1H3I,FALSE,37.6794264937
1H7O,TRUE,5.81586404454
1H7X,FALSE,34.4225481968
1HFE,TRUE,7.37660931212
1HFS,FALSE,7.53855855294
1HKA,TRUE,7.36115187139
1HPL,TRUE,4.76996163668
1HPM,FALSE,18.4151726342
1HQC,FALSE,10.3511944654
1HR6,FALSE,7.87834430283
1HRD,TRUE,0
1HRK,TRUE,0
1HTI,TRUE,3.59530497937
1HTO,FALSE,14.6749699808
1HV9,FALSE,64.6593357237
1HY3,FALSE,10.6453135802
1I1E,FALSE,15.7650646571
1I1I,TRUE,0
1I6P,FALSE,13.9336077842
1I8D,TRUE,7.09340297217
1I8T,TRUE,0
1I9A,TRUE,3.95196744322
1IDJ,FALSE,8.97564654935
1IDT,FALSE,17.5174966095
1IG8,FALSE,9.61473105964
1IM5,TRUE,0
1IMA,FALSE,11.7301358201
1IPH,FALSE,9.85757870332
1IR3,TRUE,0
1ITQ,FALSE,8.4808553525
1IVH,FALSE,12.8426033476
1J09,FALSE,11.0357062604
1J2U,FALSE,7.57579657299
1J79,TRUE,0
1J7G,FALSE,8.00694038077
1JCH,FALSE,41.8572257835
1JH6,TRUE,0
1JHF,FALSE,28.8098596449
1JKM,TRUE,6.31094587162
1JMS,FALSE,11.6330346563
1JOA,TRUE,3.8221685075
1JOF,TRUE,6.66112907615
1JS4,TRUE,4.95570443964
1K30,FALSE,8.58239713152
1K32,TRUE,6.27943771337
1K4L,TRUE,5.10620506072
1K4T,TRUE,4.21212879467
1KAE,FALSE,13.0404443548
1KC7,FALSE,16.7103262353
1KCZ,FALSE,8.34578154933
1KDG,FALSE,12.3901775782
1KEZ,FALSE,10.655789484
1KFU,FALSE,15.3797926721
1KL7,TRUE,0
1KNP,FALSE,7.75860852565
1KRA,FALSE,15.2812476132
1KSJ,FALSE,11.7176270544
1KYW,FALSE,21.2733791019
1KZH,TRUE,0
1L0O,TRUE,0
1L1D,TRUE,6.39740190529
1L1L,TRUE,5.83404787295
1L1R,TRUE,6.4425230302
1L6P,TRUE,0
1L7N,TRUE,0
1L7Q,TRUE,4.36518999176
1L8T,TRUE,5.87247103916
1L9X,FALSE,10.5542813051
1LAM,TRUE,4.09110550789
1LBA,TRUE,0
1LBU,FALSE,20.6977290651
1LJL,TRUE,0
1LTQ,FALSE,11.7089481199
1LVH,TRUE,5.24847760082
1LXA,FALSE,16.6494972079
1M21,TRUE,4.41422245706
1M54,TRUE,6.95863169487
1M9C,TRUE,7.0288187337
1MBB,TRUE,0
1MDR,TRUE,0
1MFP,TRUE,4.2002121875
1MHT,FALSE,7.9967441462
1MHY,FALSE,10.8471232221
1MJ9,TRUE,0
1MLA,FALSE,10.0452275486
1MOK,FALSE,13.4355533838
1MOQ,TRUE,4.45317796338
1MPY,FALSE,7.6197893511
1MQW,FALSE,11.1955888144
1MRQ,FALSE,13.461647177
1MUD,FALSE,11.4387051947
1MUG,FALSE,7.75157146649
1MVN,FALSE,17.5821012815
1NBA,TRUE,4.27926293601
1NBF,FALSE,14.2237809462
1NDH,FALSE,8.07288923
1NDI,TRUE,0
1NF9,TRUE,6.65446247186
1NID,FALSE,13.3601281418
1NIR,FALSE,8.86335987652
1NLU,TRUE,7.28554662966
1NN4,TRUE,7.47668119575
1NSF,FALSE,11.9305330249
1NSJ,TRUE,0
1NSP,TRUE,6.84973597812
1NU3,TRUE,0
1NVM,TRUE,5.4689839557
1NVT,FALSE,26.9912239152
1O8A,FALSE,8.03268923321
1O98,TRUE,4.18154771841
1O9I,TRUE,6.68218878102
1OAC,FALSE,14.3997630179
1OBA,FALSE,7.91945417574
1ODT,TRUE,0
1OE8,FALSE,12.1399081141
1OFG,FALSE,8.67459426153
1OG1,FALSE,9.16666778084
1OGO,FALSE,8.33739023899
1OH9,TRUE,5.91578144058
1OJ4,TRUE,0
1OK4,TRUE,4.03727355231
1ONR,TRUE,4.06074787721
1OPM,TRUE,6.05949650436
1OR8,FALSE,13.768508968
1ORD,TRUE,4.75314253767
1ORO,FALSE,21.8907565651
1OS7,FALSE,8.00529529411
1OXA,FALSE,12.5486192482
1OYG,TRUE,5.17232710909
1P1X,TRUE,0
1P3D,TRUE,6.78743402347
1P4N,FALSE,12.9644404992
1P4R,FALSE,15.4831322076
1P5D,TRUE,0
1PA9,TRUE,0
1PFK,FALSE,10.6774692664
1PFQ,TRUE,4.3079036445
1PII,TRUE,4.82241284044
1PJ5,FALSE,19.1218259368
1PJB,FALSE,9.99464910634
1PKN,TRUE,4.18018041732
1PMA,TRUE,3.50920283783
1PMI,TRUE,5.41948517026
1PNL,FALSE,11.5806220884
1POW,FALSE,17.0622576699
1PP4,FALSE,8.11889087209
1PS9,FALSE,7.72440330094
1PTD,TRUE,4.25526090661
1PUD,FALSE,9.25974865469
1PYL,TRUE,5.19035603679
1PYM,TRUE,0
1PZ3,FALSE,9.27737239955
1Q18,FALSE,8.80136114202
1Q91,TRUE,0
1QAM,FALSE,13.08348454
1QAZ,TRUE,6.11125054716
1QBA,FALSE,8.61317901327
1QCN,TRUE,6.8758937214
1QF6,FALSE,15.7514885048
1QFE,TRUE,0
1QFM,TRUE,0
1QGX,TRUE,0
1QH5,TRUE,6.26615146093
1QH9,TRUE,6.03954490038
1QHF,TRUE,5.30397792521
1QI9,TRUE,0
1QJE,FALSE,10.7937997904
1QK2,FALSE,8.96490052941
1QLH,FALSE,9.02741667993
1QMH,FALSE,11.1752435191
1QRG,TRUE,7.4483112476
1QRR,TRUE,0
1QTN,FALSE,28.3083763915
1QUM,FALSE,9.15131851792
1QV0,TRUE,4.64316080704
1QWN,TRUE,4.70676740623
1QZ9,TRUE,4.75327171464
1R16,TRUE,7.22774288853
1R1J,TRUE,0
1R30,FALSE,8.39383661212
1R44,TRUE,4.43930702557
1R4Z,FALSE,8.51652838889
1R6W,TRUE,5.16360445136
1RA0,TRUE,3.41973251198
1RBL,FALSE,10.8159874788
1RBN,TRUE,0
1RDD,FALSE,13.926811497
1REQ,TRUE,4.81516770523
1RHC,TRUE,7.37182680512
1RK2,TRUE,0
1RO7,FALSE,12.3918499518
1ROZ,FALSE,11.0372547299
1RPX,TRUE,4.01309634377
1RQL,TRUE,6.69616339099
1RU4,FALSE,11.00863858
1RVV,FALSE,15.7511784427
1S20,FALSE,8.642508522
1S3I,FALSE,7.7116751127
1S95,TRUE,4.80618660953
1SCA,TRUE,7.23077694241
1SES,TRUE,0
1SLL,TRUE,5.07568477967
1SML,FALSE,16.9534854533
1SMN,FALSE,8.897257329
1SNZ,TRUE,6.54996406136
1SOX,FALSE,8.29166410203
1STC,TRUE,0
1STD,TRUE,5.85355495696
1SZD,TRUE,0
1SZJ,FALSE,8.20131576665
1TAH,FALSE,8.28269876163
1TDE,FALSE,7.98156929564
1TLP,TRUE,5.0839207773
1TRK,FALSE,19.2347575142
1TYF,FALSE,14.0482477173
1U3F,TRUE,0
1U5U,FALSE,7.52914892632
1U8V,FALSE,12.9874964487
1UAE,FALSE,7.67466833544
1UAM,FALSE,23.0906528293
1UAQ,TRUE,6.62797417029
1UAS,FALSE,13.4844913596
1ULA,TRUE,5.09239863595
1UN1,TRUE,5.43515774539
1UQR,TRUE,6.42793757395
1UQT,FALSE,8.49476156739
1URO,FALSE,8.4716286155
1UW8,FALSE,9.70964308326
1VID,FALSE,13.1411032523
1VLB,FALSE,7.97703990141
1VNC,TRUE,4.47218500453
1VQ1,TRUE,4.95410733764
1VR7,TRUE,5.50764987348
1W0H,TRUE,4.18272497953
1WGI,FALSE,14.2556154226
1X7D,TRUE,0
1X9H,TRUE,6.85873655649
1XA8,TRUE,4.6223217415
1XGM,TRUE,5.86979609541
1XIK,FALSE,10.1630351723
1XQW,TRUE,3.77725369473
1XTC,TRUE,4.86255823535
1XVT,FALSE,10.4189027837
1Y9M,TRUE,0
1YBQ,FALSE,7.78274564136
1YCF,TRUE,0
1YON,TRUE,5.07857274764
1YSC,FALSE,9.89443308951
1YVE,FALSE,11.0752572323
1Z9H,TRUE,4.39007184504
1ZE1,TRUE,7.14015356205
1ZIO,FALSE,8.60148621412
1ZYM,FALSE,8.5574950232
206L,TRUE,5.21033211394
2A0N,TRUE,5.61147070338
2ABK,TRUE,0
2ACY,TRUE,5.48405800548
2AYH,TRUE,0
2BBK,TRUE,4.98357940727
2BIF,FALSE,21.0280767634
2BKR,TRUE,4.74624898267
2BMI,TRUE,6.73617975071
2CPO,FALSE,8.34247676299
2CPU,FALSE,9.68285176273
2DHN,FALSE,8.79233370904
2DLN,TRUE,5.17985682315
2DOR,TRUE,6.61699927639
2DW7,TRUE,0
2EBN,TRUE,6.79298114799
2F61,TRUE,5.7583771488
2F9R,TRUE,6.77472968431
2F9Z,TRUE,0
2HDH,TRUE,6.24048719599
2JCW,TRUE,4.97135642052
2NLR,FALSE,9.61916250333
2NMT,FALSE,9.31946052212
2PDA,TRUE,5.31505639231
2PEC,FALSE,10.8741666452
2PFL,TRUE,5.80115810496
2PGD,TRUE,3.89719343007
2PIA,FALSE,7.99995154894
2PTH,TRUE,5.140864552
2SQC,TRUE,5.00785252699
2TDT,FALSE,9.43573034228
2THI,TRUE,0
2TOH,TRUE,5.20114016811
2TPS,TRUE,6.47150031379
2TS1,TRUE,5.38691863382
2XIS,TRUE,3.88768238724
3CLA,FALSE,12.1564685391
3CSM,TRUE,5.83087239564
3ECA,TRUE,0
3PCA,FALSE,7.69421937208
3PVA,TRUE,4.44171946009
3R1R,FALSE,13.5172781332
4KBP,FALSE,8.97790157909
4MDH,FALSE,8.86601417448
5COX,FALSE,12.1497791285
5EAT,TRUE,4.14555843293
7ATJ,FALSE,10.2540415189
