complex_pdb,type,partner_pdb,enzyme,length,protein_length,antibody,candidate
2AQ3_A:B,OX,1BEC_A,,,,,
2AQ3_A:B,OX,1CK1_A,,,,,
2B4J_AB:C,OX,1BIZ_AB,,,,,
2B4J_AB:C,OX,1Z9E_A(1),,,,,
2BTF_A:P,OX,1IJJ_B,,,,,
2BTF_A:P,OX,1PNE_A,,,,,
2C0L_A:B,OX,1FCH_A,,,,,
2C0L_A:B,OX,1C44_A,,,,,
2FJU_B:A,OG,2ZKM_X,,,,,
2FJU_B:A,OG,1MH1_A,,,,,
2GOX_A:B,OX,1C3D_A,,,,,
2GOX_A:B,OX,2GOM_A,,,,,
2HLE_A:B,OR,2BBA_A,,,,,
2HLE_A:B,OR,1IKO_P,,,,,
2HQS_A:H,OX,1CRZ_A,,,,,
2HQS_A:H,OX,1OAP_A,,,,,
2HRK_A:B,OX,2HRA_A,,,,,
2HRK_A:B,OX,2HQT_A,,,,,
2I9B_E:A,OR,1YWH_A,,,,,
2I9B_E:A,OR,2I9A_A,,,,,
2NYZ_AB:D,OR,1MKF_AB,,,,,
2NYZ_AB:D,OR,1J9O_A,,,,,
2OZA_B:A,OX,3HEC_A,,,,,
2OZA_B:A,OX,3FYK_X,,,,,
2VDB_A:B,OX,3CX9_A,,,,,
2VDB_A:B,OX,2J5Y_A,,,,,
2X9A_D:C,OR,1S62_A,,,,,
2X9A_D:C,OR,2X9B_A,,,,,
3AAA_AB:C,OX,3AA7_AB,,,,,
3AAA_AB:C,OX,1MYO_A,,,,,
3BIW_A:E,OX,3BIX_A,,,,,
3BIW_A:E,OX,2R1D_A,,,,,
3BP8_AB:C,OX,1Z6R_AB,,,,,
3BP8_AB:C,OX,3BP3_A,,,,,
3BX7_A:C,OX,3BX8_A,,,,,
3BX7_A:C,OX,3OSK_A,,,,,
3BZD_A:B,OX,1BEC_A,,,,,
3BZD_A:B,OX,3BVZ_A,,,,,
3CPH_G:A,OG,1G16_A,,,,,
3CPH_G:A,OG,3CPI_G,,,,,
3DAW_A:B,OX,1IJJ_A,,,,,
3DAW_A:B,OX,2HD7_A,,,,,
3F1P_A:B,OX,1P97_A,,,,,
3F1P_A:B,OX,1X0O_A,,,,,
3H2V_A:E,OX,3MYI_A,,,,,
3H2V_A:E,OX,1WI6_A,,,,,
3L89_ABC:M,OR,3L88_ABC,,,,,
3L89_ABC:M,OR,1CKL_A,,,,,
3R9A_AC:B,OR,1H0C_AB,,,,,
3R9A_AC:B,OR,2C0M_A,,,,,
3S9D_B:A,OR,1N6U_A,,,,,
3S9D_B:A,OR,1ITF_A,,,,,
3SZK_DE:F,OX,3ODQ_AB,,,,,
3SZK_DE:F,OX,2H3K_A,,,,,
4M76_A:B,OR,1C3D_A,,,,,
4M76_A:B,OR,1M1U_A,,,,,
