pdb,Chain,formula,term,estimate,std.error,statistic,p.value
1A16,A,rate~dist_active,(Intercept),0.231846919275302,0.10474342089907,2.21347476801153,0.0273807239291198
1A16,A,rate~dist_active,dist_active,0.039339405334716,0.00441940735090808,8.90151149489143,1.48181172886424e-17
1A16,A,rate~wcnSC+RSA+dist_active,(Intercept),0.885482504847784,0.281785887964336,3.14239478507829,0.00179026599896482
1A16,A,rate~wcnSC+RSA+dist_active,wcnSC,-0.354291210036871,0.139930741091455,-2.53190404962779,0.011695466388132
1A16,A,rate~wcnSC+RSA+dist_active,RSA,2.47239250344841,0.234986223418962,10.5214359696327,3.22736855317208e-23
1A16,A,rate~wcnSC+RSA+dist_active,dist_active,0.0144615584158393,0.00389700155424544,3.71094499566846,0.000233272278924915
1A16,A,rate~wcnSC+dist_active,(Intercept),2.64125910927329,0.254022433869138,10.3977395580501,9.05263174488911e-23
1A16,A,rate~wcnSC+dist_active,wcnSC,-1.26028270875837,0.123397086960175,-10.2132290137863,4.23571809428479e-22
1A16,A,rate~wcnSC+dist_active,dist_active,0.0259637473417533,0.00418471760704165,6.20442041251815,1.277517383782e-09
1A16,A,rate~RSA+dist_active,(Intercept),0.204638026011591,0.0847396391405662,2.41490320335371,0.0161500059133092
1A16,A,rate~RSA+dist_active,RSA,2.83851432695044,0.18637098553382,15.2304518797285,2.63802456013605e-42
1A16,A,rate~RSA+dist_active,dist_active,0.0150945386518104,0.00391302988943601,3.85750660698019,0.000131837029538539
1A16,A,rate~RSA_mono,(Intercept),0.5297291671116,0.0546455441086375,9.69391330532783,2.95158611410942e-20
1A16,A,rate~RSA_mono,RSA_mono,2.44213730024692,0.17198326645624,14.1998541519056,6.71464954421722e-38
1A16,A,rate~wcnSC_mono,(Intercept),3.27470557975591,0.155969669848331,20.9957845197744,3.47395878257025e-68
1A16,A,rate~wcnSC_mono,wcnSC_mono,-2.08569748916935,0.144004038820362,-14.4836041145426,4.16446462074498e-39
1A16,A,rate~wcnSC_mono+RSA_mono,(Intercept),2.07535054279124,0.319414758469851,6.49735332435221,2.23564504647211e-10
1A16,A,rate~wcnSC_mono+RSA_mono,wcnSC_mono,-1.21547343843574,0.247671005236583,-4.90761297340674,1.30473530733298e-06
1A16,A,rate~wcnSC_mono+RSA_mono,RSA_mono,1.25719669601997,0.293925182057369,4.27726772922298,2.32684065073114e-05
1A16,A,rate~wcnSC_mono+RSA_mono+dist_active,(Intercept),1.22984601122862,0.514244990121071,2.39155662156101,0.0172010080529095
1A16,A,rate~wcnSC_mono+RSA_mono+dist_active,wcnSC_mono,-0.720828825260181,0.341654900805788,-2.1098155582142,0.0354448130107711
1A16,A,rate~wcnSC_mono+RSA_mono+dist_active,RSA_mono,1.53623499038905,0.321719462316447,4.77507633305067,2.45873608852564e-06
1A16,A,rate~wcnSC_mono+RSA_mono+dist_active,dist_active,0.0121255160193164,0.00579366929136888,2.0928906034351,0.0369376849024193
1A16,A,rate~wcnSC_mono+dist_active,(Intercept),3.24314888373114,0.301682704287954,10.7501982633899,4.54295071985353e-24
1A16,A,rate~wcnSC_mono+dist_active,wcnSC_mono,-2.06927396905518,0.197058021556692,-10.5008360111839,3.79547421023697e-23
1A16,A,rate~wcnSC_mono+dist_active,dist_active,0.000660518465983548,0.00540295640035251,0.122251304108331,0.902756323534558
1A16,A,rate~RSA_mono+dist_active,(Intercept),0.162243715676957,0.0919851883501528,1.76380261417041,0.0784655186512914
1A16,A,rate~RSA_mono+dist_active,RSA_mono,2.09726634703071,0.181802833949376,11.5359386950739,4.7305668809784e-27
1A16,A,rate~RSA_mono+dist_active,dist_active,0.0205813664635498,0.00420026183782075,4.90001986976798,1.35343912078926e-06
1A26,A,rate~RSA,(Intercept),0.440899346438809,0.0487470909060924,9.04462888438138,1.06373118092354e-17
1A26,A,rate~RSA,RSA,1.76094006014559,0.14631506656512,12.0352613130368,3.84331405030651e-28
1A26,A,rate~wcnSC,(Intercept),2.67641817378829,0.13660869464432,19.5918581958251,3.53485251553459e-58
1A26,A,rate~wcnSC,wcnSC,-1.85320817554518,0.136183002009374,-13.6082194414955,3.97181909422234e-34
1A26,A,rate~wcnSC+RSA,(Intercept),2.22384333213403,0.323649910364762,6.87113841504761,2.94956191304793e-11
1A26,A,rate~wcnSC+RSA,wcnSC,-1.49585469410092,0.268684705410483,-5.56732357286815,5.17712362600892e-08
1A26,A,rate~wcnSC+RSA,RSA,0.42795300190024,0.277562146468395,1.54182768560255,0.12402427490748
1A26,A,rate~dist_active,(Intercept),0.0716482459636671,0.103907417435276,0.689539281527197,0.490942170635786
1A26,A,rate~dist_active,dist_active,0.0398204676166086,0.00486103417187303,8.19176870778202,4.92422283794269e-15
1A26,A,rate~wcnSC+RSA+dist_active,(Intercept),2.0967019059448,0.501335285699829,4.18223485509892,3.65994424507313e-05
1A26,A,rate~wcnSC+RSA+dist_active,wcnSC,-1.41835640290413,0.356006371094547,-3.98407589881993,8.25810667927492e-05
1A26,A,rate~wcnSC+RSA+dist_active,RSA,0.464388459936664,0.298755120638081,1.5544117166756,0.120997789473575
1A26,A,rate~wcnSC+RSA+dist_active,dist_active,0.00213210849948805,0.00641465245978846,0.332380984449835,0.739802289809692
1A26,A,rate~wcnSC+dist_active,(Intercept),2.73985757087731,0.283662910784081,9.65885022932321,1.03748561151151e-19
1A26,A,rate~wcnSC+dist_active,wcnSC,-1.88691014182549,0.189798894673803,-9.94162871742967,1.15665181186504e-20
1A26,A,rate~wcnSC+dist_active,dist_active,-0.00152646596420816,0.00597937326788142,-0.25528862237246,0.798650998889121
1A26,A,rate~RSA+dist_active,(Intercept),0.133177510435022,0.0938272569611342,1.41939042820134,0.156680317426944
1A26,A,rate~RSA+dist_active,RSA,1.4721981681164,0.162314379273502,9.0700415742941,8.90437792197441e-18
1A26,A,rate~RSA+dist_active,dist_active,0.0188699296003602,0.00494996000466004,3.81213779153679,0.000162911280278582
1A26,A,rate~RSA_mono,(Intercept),0.440899346438809,0.0487470909060924,9.04462888438138,1.06373118092354e-17
1A26,A,rate~RSA_mono,RSA_mono,1.76094006014559,0.14631506656512,12.0352613130368,3.84331405030651e-28
1A26,A,rate~wcnSC_mono,(Intercept),2.67641817378829,0.13660869464432,19.5918581958251,3.53485251553459e-58
1A26,A,rate~wcnSC_mono,wcnSC_mono,-1.85320817554518,0.136183002009374,-13.6082194414955,3.97181909422234e-34
1A26,A,rate~wcnSC_mono+RSA_mono,(Intercept),2.22384333213403,0.323649910364762,6.87113841504761,2.94956191304793e-11
1A26,A,rate~wcnSC_mono+RSA_mono,wcnSC_mono,-1.49585469410092,0.268684705410483,-5.56732357286815,5.17712362600892e-08
1A26,A,rate~wcnSC_mono+RSA_mono,RSA_mono,0.42795300190024,0.277562146468395,1.54182768560255,0.12402427490748
1A26,A,rate~wcnSC_mono+RSA_mono+dist_active,(Intercept),2.0967019059448,0.501335285699829,4.18223485509892,3.65994424507313e-05
1A26,A,rate~wcnSC_mono+RSA_mono+dist_active,wcnSC_mono,-1.41835640290413,0.356006371094547,-3.98407589881993,8.25810667927492e-05
1A26,A,rate~wcnSC_mono+RSA_mono+dist_active,RSA_mono,0.464388459936664,0.298755120638081,1.5544117166756,0.120997789473575
1A26,A,rate~wcnSC_mono+RSA_mono+dist_active,dist_active,0.00213210849948805,0.00641465245978846,0.332380984449835,0.739802289809692
1A26,A,rate~wcnSC_mono+dist_active,(Intercept),2.73985757087731,0.283662910784081,9.65885022932321,1.03748561151151e-19
1A26,A,rate~wcnSC_mono+dist_active,wcnSC_mono,-1.88691014182549,0.189798894673803,-9.94162871742967,1.15665181186504e-20
1A26,A,rate~wcnSC_mono+dist_active,dist_active,-0.00152646596420816,0.00597937326788142,-0.25528862237246,0.798650998889121
1A26,A,rate~RSA_mono+dist_active,(Intercept),0.133177510435022,0.0938272569611342,1.41939042820134,0.156680317426944
1A26,A,rate~RSA_mono+dist_active,RSA_mono,1.4721981681164,0.162314379273502,9.0700415742941,8.90437792197441e-18
1A26,A,rate~RSA_mono+dist_active,dist_active,0.0188699296003602,0.00494996000466004,3.81213779153679,0.000162911280278582
1A2T,A,rate~RSA,(Intercept),0.539817068107173,0.0800601130650328,6.74264683674228,4.40876468095716e-10
1A2T,A,rate~RSA,RSA,0.845780496983928,0.234306815898983,3.60971358745522,0.000434020777390584
1A2T,A,rate~wcnSC,(Intercept),1.755908326699,0.208994831741749,8.40168300845227,6.09874830524802e-14
1A2T,A,rate~wcnSC,wcnSC,-1.38458643828633,0.28394917537734,-4.87617700050142,3.05629753855266e-06
1A2T,A,rate~wcnSC+RSA,(Intercept),2.42547718456171,0.561947547095879,4.31619854396816,3.10433004675482e-05
1A2T,A,rate~wcnSC+RSA,wcnSC,-2.08622621099615,0.61584499990586,-3.38758325766234,0.000931491914957747
1A2T,A,rate~wcnSC+RSA,RSA,-0.629142672100918,0.490334997027374,-1.28308743188852,0.201726790394229
1A2T,A,rate~dist_active,(Intercept),0.0431429255832217,0.142750271460523,0.3022265747155,0.762955032461378
1A2T,A,rate~dist_active,dist_active,0.050406646022313,0.00939777666058201,5.36367779772192,3.54161763224352e-07
1A2T,A,rate~wcnSC+RSA+dist_active,(Intercept),1.27197784685924,0.679303670603593,1.87247309546999,0.0633875425065215
1A2T,A,rate~wcnSC+RSA+dist_active,wcnSC,-1.23218793031968,0.669602266490667,-1.84017885240665,0.0680226727775226
1A2T,A,rate~wcnSC+RSA+dist_active,RSA,-0.395940906070077,0.484271119418427,-0.817601732156921,0.415080607666785
1A2T,A,rate~wcnSC+RSA+dist_active,dist_active,0.0335395385126399,0.0117078568367015,2.86470350470129,0.00486885775142923
1A2T,A,rate~wcnSC+dist_active,(Intercept),0.807161903567061,0.371346659447652,2.17360755248923,0.0315324374628774
1A2T,A,rate~wcnSC+dist_active,wcnSC,-0.762125988833662,0.342822210260715,-2.22309397122802,0.0279235836797329
1A2T,A,rate~wcnSC+dist_active,dist_active,0.035148637613093,0.0115266433805472,3.0493385153575,0.00277581504896978
1A2T,A,rate~RSA+dist_active,(Intercept),0.0491234218888649,0.142178498018838,0.345505280850247,0.730268729452314
1A2T,A,rate~RSA+dist_active,RSA,0.369206265617596,0.250501737715605,1.47386708365575,0.142916360774867
1A2T,A,rate~RSA+dist_active,dist_active,0.0431317375522739,0.0105784777588907,4.07731041604959,7.85820346835422e-05
1A2T,A,rate~RSA_mono,(Intercept),0.539817068107173,0.0800601130650328,6.74264683674228,4.40876468095716e-10
1A2T,A,rate~RSA_mono,RSA_mono,0.845780496983928,0.234306815898983,3.60971358745522,0.000434020777390584
1A2T,A,rate~wcnSC_mono,(Intercept),1.755908326699,0.208994831741749,8.40168300845227,6.09874830524802e-14
1A2T,A,rate~wcnSC_mono,wcnSC_mono,-1.38458643828633,0.28394917537734,-4.87617700050142,3.05629753855266e-06
1A2T,A,rate~wcnSC_mono+RSA_mono,(Intercept),2.42547718456171,0.561947547095879,4.31619854396816,3.10433004675482e-05
1A2T,A,rate~wcnSC_mono+RSA_mono,wcnSC_mono,-2.08622621099615,0.61584499990586,-3.38758325766234,0.000931491914957747
1A2T,A,rate~wcnSC_mono+RSA_mono,RSA_mono,-0.629142672100918,0.490334997027374,-1.28308743188852,0.201726790394229
1A2T,A,rate~wcnSC_mono+RSA_mono+dist_active,(Intercept),1.27197784685924,0.679303670603593,1.87247309546999,0.0633875425065215
1A2T,A,rate~wcnSC_mono+RSA_mono+dist_active,wcnSC_mono,-1.23218793031968,0.669602266490667,-1.84017885240665,0.0680226727775226
1A2T,A,rate~wcnSC_mono+RSA_mono+dist_active,RSA_mono,-0.395940906070077,0.484271119418427,-0.817601732156921,0.415080607666785
1A2T,A,rate~wcnSC_mono+RSA_mono+dist_active,dist_active,0.0335395385126399,0.0117078568367015,2.86470350470129,0.00486885775142923
1A2T,A,rate~wcnSC_mono+dist_active,(Intercept),0.807161903567061,0.371346659447652,2.17360755248923,0.0315324374628774
1A2T,A,rate~wcnSC_mono+dist_active,wcnSC_mono,-0.762125988833662,0.342822210260715,-2.22309397122802,0.0279235836797329
1A2T,A,rate~wcnSC_mono+dist_active,dist_active,0.035148637613093,0.0115266433805472,3.0493385153575,0.00277581504896978
1A2T,A,rate~RSA_mono+dist_active,(Intercept),0.0491234218888649,0.142178498018838,0.345505280850247,0.730268729452314
1A2T,A,rate~RSA_mono+dist_active,RSA_mono,0.369206265617596,0.250501737715605,1.47386708365575,0.142916360774867
1A2T,A,rate~RSA_mono+dist_active,dist_active,0.0431317375522739,0.0105784777588907,4.07731041604959,7.85820346835422e-05
1A4L,A,rate~RSA,(Intercept),0.267138376828442,0.0255501968712183,10.4554332076152,2.04199986813891e-22
1A4L,A,rate~RSA,RSA,1.550746273122,0.0879026685240396,17.6416290786201,3.87635369823229e-50
1A4L,A,rate~wcnSC,(Intercept),2.03961276016271,0.0763954933395301,26.6980769545909,4.84913100066787e-86
1A4L,A,rate~wcnSC,wcnSC,-1.3281815391066,0.0669954933455942,-19.8249385560193,5.62246082597534e-59
1A4L,A,rate~wcnSC+RSA,(Intercept),1.51453908979378,0.167123093638134,9.06241655072016,9.73375269293508e-18
1A4L,A,rate~wcnSC+RSA,wcnSC,-0.950311133084042,0.126032274218256,-7.54022046319934,4.18713508751067e-13
1A4L,A,rate~wcnSC+RSA,RSA,0.548569750664348,0.15594284910379,3.51776149927362,0.000493430911039017
1A4L,A,rate~dist_active,(Intercept),-0.152651880220495,0.063844095323321,-2.39101015446191,0.0173359829974508
1A4L,A,rate~dist_active,dist_active,0.0409634300443268,0.00340788930954169,12.0201762215792,4.7481060388755e-28
1A4L,A,rate~wcnSC+RSA+dist_active,(Intercept),1.28982911710861,0.266347310465291,4.84265868821941,1.93978873650818e-06
1A4L,A,rate~wcnSC+RSA+dist_active,wcnSC,-0.830474288744749,0.16766807130372,-4.95308547588883,1.14737596988878e-06
1A4L,A,rate~wcnSC+RSA+dist_active,RSA,0.601350227124468,0.163338953017345,3.68160941414023,0.000268999963757991
1A4L,A,rate~wcnSC+RSA+dist_active,dist_active,0.00464503420535203,0.00428771635964634,1.0833352338948,0.279418384711851
1A4L,A,rate~wcnSC+dist_active,(Intercept),2.04199350095788,0.173964701915217,11.7379760289134,5.35734680511623e-27
1A4L,A,rate~wcnSC+dist_active,wcnSC,-1.32932250255146,0.100538367243423,-13.2220418831044,1.43125879161542e-32
1A4L,A,rate~wcnSC+dist_active,dist_active,-6.34859175315109e-05,0.00416633244504565,-0.0152378424835024,0.987851239217182
1A4L,A,rate~RSA+dist_active,(Intercept),-0.00360493923876522,0.0541830936160458,-0.0665325472980682,0.946992384510299
1A4L,A,rate~RSA+dist_active,RSA,1.25515175508372,0.0994348172478557,12.6228597771249,2.7212019289556e-30
1A4L,A,rate~RSA+dist_active,dist_active,0.0186563524789972,0.00333025033865439,5.60208710511999,4.33421364051116e-08
1A4L,A,rate~RSA_mono,(Intercept),0.267138376828442,0.0255501968712183,10.4554332076152,2.04199986813891e-22
1A4L,A,rate~RSA_mono,RSA_mono,1.550746273122,0.0879026685240396,17.6416290786201,3.87635369823229e-50
1A4L,A,rate~wcnSC_mono,(Intercept),2.03961276016271,0.0763954933395301,26.6980769545909,4.84913100066787e-86
1A4L,A,rate~wcnSC_mono,wcnSC_mono,-1.3281815391066,0.0669954933455942,-19.8249385560193,5.62246082597534e-59
1A4L,A,rate~wcnSC_mono+RSA_mono,(Intercept),1.51453908979378,0.167123093638134,9.06241655072016,9.73375269293508e-18
1A4L,A,rate~wcnSC_mono+RSA_mono,wcnSC_mono,-0.950311133084042,0.126032274218256,-7.54022046319934,4.18713508751067e-13
1A4L,A,rate~wcnSC_mono+RSA_mono,RSA_mono,0.548569750664348,0.15594284910379,3.51776149927362,0.000493430911039017
1A4L,A,rate~wcnSC_mono+RSA_mono+dist_active,(Intercept),1.28982911710861,0.266347310465291,4.84265868821941,1.93978873650818e-06
1A4L,A,rate~wcnSC_mono+RSA_mono+dist_active,wcnSC_mono,-0.830474288744749,0.16766807130372,-4.95308547588883,1.14737596988878e-06
1A4L,A,rate~wcnSC_mono+RSA_mono+dist_active,RSA_mono,0.601350227124468,0.163338953017345,3.68160941414023,0.000268999963757991
1A4L,A,rate~wcnSC_mono+RSA_mono+dist_active,dist_active,0.00464503420535203,0.00428771635964634,1.0833352338948,0.279418384711851
1A4L,A,rate~wcnSC_mono+dist_active,(Intercept),2.04199350095788,0.173964701915217,11.7379760289134,5.35734680511623e-27
1A4L,A,rate~wcnSC_mono+dist_active,wcnSC_mono,-1.32932250255146,0.100538367243423,-13.2220418831044,1.43125879161542e-32
1A4L,A,rate~wcnSC_mono+dist_active,dist_active,-6.34859175315109e-05,0.00416633244504565,-0.0152378424835024,0.987851239217182
1A4L,A,rate~RSA_mono+dist_active,(Intercept),-0.00360493923876522,0.0541830936160458,-0.0665325472980682,0.946992384510299
1A4L,A,rate~RSA_mono+dist_active,RSA_mono,1.25515175508372,0.0994348172478557,12.6228597771249,2.7212019289556e-30
1A4L,A,rate~RSA_mono+dist_active,dist_active,0.0186563524789972,0.00333025033865439,5.60208710511999,4.33421364051116e-08
1A4S,A,rate~RSA,(Intercept),0.408640981321191,0.0419911191179799,9.73160491800796,1.29081209394308e-20
1A4S,A,rate~RSA,RSA,2.97613460857222,0.166986026122477,17.8226566478643,2.16097853942825e-55
1A4S,A,rate~wcnSC,(Intercept),3.52752947325117,0.158749428164514,22.2207381408362,1.21287165378996e-76
1A4S,A,rate~wcnSC,wcnSC,-1.3201183876176,0.0776134801391013,-17.0088802261108,1.51609120602449e-51
1A4S,A,rate~wcnSC+RSA,(Intercept),2.07197704821547,0.220754751713159,9.38587745965134,2.1897422504646e-19
1A4S,A,rate~wcnSC+RSA,wcnSC,-0.743948196592963,0.0971203358681261,-7.66006614313119,9.70241778146567e-14
1A4S,A,rate~wcnSC+RSA,RSA,1.88682436509183,0.212669380906792,8.87210164926741,1.27814445980005e-17
1A4S,A,rate~dist_active,(Intercept),-0.121600859142298,0.0971570741654092,-1.25159037761134,0.211303217561
1A4S,A,rate~dist_active,dist_active,0.0526262671440315,0.00469274771444765,11.2143823504532,3.40624903883042e-26
